Municipio,Código Parada,Días,Facturación
Getafe,TFT Hosp.Getafe,7,8.80
Getafe,17438,30,37.70
Getafe,8292,30,37.70
Getafe,8294,30,37.70
Getafe,8268,30,37.70
Getafe,8258,30,37.70
Getafe,8256,30,37.70
Getafe,19203,30,37.70
Getafe,6348,30,37.70
Getafe,8235,30,37.70
Getafe,19210,30,37.70
Getafe,8229,30,37.70
Getafe,8216,30,37.70
Getafe,8218,30,37.70
Getafe,10810,30,37.70
Getafe,17439,30,37.70
Getafe,8291,30,37.70
Getafe,11723,30,37.70
Getafe,8332,30,37.70
Getafe,8241,30,37.70
Getafe,8297,30,37.70
Griñón,12173,30,37.70
Griñón,8116,30,37.70
Guadalix de la Sierra,20218,30,37.70
Guadarrama,TFT Hosp.Guadarrama,30,37.70
Guadarrama,9296,30,37.70
Guadarrama,9254,30,37.70
Guadarrama,9253,30,37.70
Hoyo de Manzanares,18257,24,30.16
Hoyo de Manzanares,6048,30,37.70
Hoyo de Manzanares,18256,30,37.70
Humanes,8105,30,37.70
Humanes,8099,30,37.70
Leganés,7959,30,37.70
Leganés,8032,30,37.70
Leganés,TFT Hosp.Severo Ochoa Leganés,30,37.70
Leganés,11911,30,37.70
Leganés,7961,30,37.70
Leganés,7969,30,37.70
Leganés,8213,30,37.70
Leganés,15334,30,37.70
Leganés,09079B,30,37.70
Leganés,09079A,30,37.70
Leganés,9510,30,37.70
Leganés,7908,30,37.70
Leganés,11912,30,37.70
Leganés,7882,30,37.70
Leganés,15144,30,37.70
Loeches,12041,30,37.70
Loeches,12759,30,37.70
Madrid,18074A,30,37.70
Madrid,18074B,30,37.70
Majadahonda,6252,30,37.70
Majadahonda,6253,30,37.70
Majadahonda,6205,30,37.70
Majadahonda,20611,30,37.70
Majadahonda,13042,30,37.70
Majadahonda,7305,30,37.70
Majadahonda,6244,30,37.70
Majadahonda,7304,30,37.70
Majadahonda,18073,30,37.70
Majadahonda,18072,30,37.70
Majadahonda,6250,30,37.70
Majadahonda,12271,30,37.70
Majadahonda,17725,30,37.70
Manzanares El Real,9107,30,37.70
Manzanares El Real,17328,30,37.70
Meco,16430,30,37.70
Meco,11783,30,37.70
Mejorada del Campo,7289,30,37.70
Mejorada del Campo,7287,30,37.70
Molar, El,9648,30,37.70
Moraleja de En medio,9317,30,37.70
Moraleja de En medio,11921,30,37.70
Moraleja de En medio,9318,30,37.70
Moraleja de En medio,11877,30,37.70
Moralzarzal,9308,30,37.70
Moralzarzal,TFT Estación autobuses Moralzarzal,30,37.70
Móstoles,17099,30,37.70
Móstoles,8552,30,37.70
Móstoles,TFT Hosp.Móstoles_2,30,37.70
Móstoles,18532C,30,37.70
Móstoles,8591,30,37.70
Móstoles,18853B (2),30,37.70
Móstoles,18853B (1),30,37.70
Móstoles,18853A,30,37.70
Móstoles,15647,30,37.70
Móstoles,08988B,30,37.70
Móstoles,8601,30,37.70
Móstoles,19275,30,37.70
Móstoles,8603,30,37.70
Móstoles,18532B,30,37.70
Móstoles,08988A,30,37.70
Móstoles,10876,30,37.70
Móstoles,18532A,30,37.70
Móstoles,8562,30,37.70
Móstoles,8558,30,37.70
Móstoles,8605,30,37.70
Móstoles,8616,30,37.70
Móstoles,11267,30,37.70
Móstoles,8584,30,37.70
Navacerrada,9201,30,37.70
Navalagamella,9956,30,37.70
Navalcarnero,8966,30,37.70
Navalcarnero,11451,30,37.70
Navalcarnero,8957,30,37.70
Navalcarnero,8963,30,37.70
Navalcarnero,8950,30,37.70
Navarredonda,10378,30,37.70
Nuevo Baztán,9163,30,37.70
Paracuellos del Jarama,15766,30,37.70
Paracuellos del Jarama,15767,30,37.70
Paracuellos del Jarama,17287,30,37.70
Paracuellos del Jarama,19373,30,37.70
Parla,16641,30,37.70
Parla,7802,30,37.70
Parla,16642,30,37.70
Parla,12285,30,37.70
Parla,17424A,30,37.70
Parla,7822,30,37.70
Parla,7847,30,37.70
Parla,7827,30,37.70
Parla,11055,30,37.70
Parla,16640,30,37.70
Parla,7828,30,37.70
Parla,7809,30,37.70
Parla,17424B,30,37.70
Parla,8841,30,37.70
Parla,18647,30,37.70
Pezuela de las Torres,9665,30,37.70
Pinto,12381,30,37.70
Pinto,18463,30,37.70
Pinto,12380,30,37.70
Pinto,15809,30,37.70
Pozuelo de Alarcón,10501,30,37.70
Pozuelo de Alarcón,6296,30,37.70
Pozuelo de Alarcón,7677,30,37.70
Pozuelo de Alarcón,6292,30,37.70
Pozuelo de Alarcón,8687,30,37.70
Pozuelo de Alarcón,10502,30,37.70
Pozuelo de Alarcón,6444,30,37.70
Pozuelo de Alarcón,9376,30,37.70
Pozuelo de Alarcón,6478,30,37.70
Pozuelo de Alarcón,6297,30,37.70
Pozuelo de Alarcón,6289,30,37.70
Pozuelo de Alarcón,20647,30,37.70
Pozuelo de Alarcón,6479,30,37.70
Pozuelo de Alarcón,9382,30,37.70
Pozuelo de Alarcón,6284,30,37.70
Pozuelo de Alarcón,6445,30,37.70
Pozuelo del Rey,9170,30,37.70
Pozuelo del Rey,19186,30,37.70
Rascafría,18985,30,37.70
Ribatejada,9793,30,37.70
Robledo de Chavela,10143,30,37.70
Rozas de Madrid, Las,12446 (dcha),30,37.70
Rozas de Madrid, Las,6142,30,37.70
Rozas de Madrid, Las,9333,30,37.70
Rozas de Madrid, Las,9809,30,37.70
Rozas de Madrid, Las,11088,30,37.70
Rozas de Madrid, Las,6114,30,37.70
Rozas de Madrid, Las,12446 (izq),30,37.70
Rozas de Madrid, Las,6145,30,37.70
Rozas de Madrid, Las,13036,30,37.70
Rozas de Madrid, Las,11827,30,37.70
Rozas de Madrid, Las,6141,30,37.70
Rozas de Madrid, Las,9819,30,37.70
Rozas de Madrid, Las,18088,30,37.70
Rozas de Madrid, Las,12447,30,37.70
San Agustín de Guadalíx,6705,30,37.70
San Agustín de Guadalíx,12098,30,37.70
San Fernando de Henares,7152,30,37.70
San Fernando de Henares,7297,30,37.70
San Lorenzo del Escorial,TFT Estación autobuses SL del Escorial,30,37.70
San Lorenzo del Escorial,10213,30,37.70
San Lorenzo del Escorial,10443,30,37.70
San Lorenzo del Escorial,10216,30,37.70
San Lorenzo del Escorial,10214,30,37.70
San Lorenzo del Escorial,11026,30,37.70
San Martín de Valdeiglesias,9795,30,37.70
San Martín de Valdeiglesias,10129,30,37.70
San Sebastián de los R.,17025,30,37.70
San Sebastián de los R.,6782,30,37.70
San Sebastián de los R.,6788,30,37.70
San Sebastián de los R.,17474A,30,37.70
San Sebastián de los R.,6790,30,37.70
San Sebastián de los R.,6795,30,37.70
San Sebastián de los R.,10448,30,37.70
San Sebastián de los R.,17474B,30,37.70
San Sebastián de los R.,6792,30,37.70
Serranillos del Valle,9137,30,37.70
Sevilla la Nueva,19887,30,37.70
Sevilla la Nueva,9842,30,37.70
Sevilla la Nueva,9843,30,37.70
Sevilla la Nueva,17384,30,37.70
Soto del Real,18931,30,37.70
Soto del Real,18935,30,37.70
Talamanca del Jarama,11200,30,37.70
Torrejón de Ardoz,18653,30,37.70
Torrejón de Ardoz,11182,30,37.70
Torrejón de Ardoz,TFT Hosp.Torrejón,30,37.70
Torrejón de Ardoz,11181,30,37.70
Torrejón de Ardoz,10073,30,37.70
Torrejón de Ardoz,9393,30,37.70
Torrejón de Ardoz,19866,30,37.70
Torrejón de Ardoz,7231,30,37.70
Torrejón de Ardoz,10892,30,37.70
Torrejón de la Calzada,8120,30,37.70
Torrejón de la Calzada,10289,30,37.70
Torrelaguna,12445,30,37.70
Torrelodones,13144,30,37.70
Torrelodones,8413,30,37.70
Torrelodones,6096,30,37.70
Torrelodones,9103,30,37.70
Torres de la Alameda,9666,30,37.70
Torres de la Alameda,12678,30,37.70
Tres Cantos,6660,30,37.70
Tres Cantos,9692,30,37.70
Tres Cantos,11103,30,37.70
Tres Cantos,8397,30,37.70
Valdeavero,9802,30,37.70
Valdemanco,10344,30,37.70
Valdemorillo,9859,30,37.70
Valdemorillo,12950,30,37.70
Valdemoro,11987,30,37.70
Valdemoro,10762,30,37.70
Valdemoro,8000,30,37.70
Valdemoro,TFT Hosp.Valdemoro,30,37.70
Valdemoro,12889,30,37.70
Valdemoro,11991,30,37.70
Valdemoro,15928,30,37.70
Valdemoro,7994,30,37.70
Valdemoro,15929,30,37.70
Valdeolmos-Alalpardo,9541,30,37.70
Valdeolmos-Alalpardo,10023,30,37.70
Valdetorres de Jarama,9534,30,37.70
Valdetorres de Jarama,15201,30,37.70
Valdilecha,9662,30,37.70
Velilla de San Antonio,7281,30,37.70
Velilla de San Antonio,21193,30,37.70
Velilla de San Antonio,11441,30,37.70
Villalbilla,11496,30,37.70
Villalbilla,8994,30,37.70
Villalbilla,17498,30,37.70
Villalbilla,7395,30,37.70
Villamanta,9646,30,37.70
Villanueva de la Cañada,11165,30,37.70
Villanueva de la Cañada,17009,30,37.70
Villanueva de la Cañada,12658,30,37.70
Villanueva de la Cañada,11166,30,37.70
Villanueva del Pardillo,6199,30,37.70
Villanueva del Pardillo,6200,30,37.70
Villanueva del Pardillo,6201,30,37.70
Villarejo de Salvanés,9722,30,37.70
Villarejo de Salvanés,9721,30,37.70
Villaviciosa de Odón,11353,30,37.70
Villaviciosa de Odón,9346,30,37.70
Villaviciosa de Odón,19012,30,37.70
Villaviciosa de Odón,13298,30,37.70
Villaviciosa de Odón,10565,30,37.70
Villaviciosa de Odón,10568,30,37.70
Villaviciosa de Odón,10569,30,37.70
Villaviciosa de Odón,10571,30,37.70
Villaviciosa de Odón,8913,30,37.70
Villaviciosa de Odón,8916,30,37.70
Villaviciosa de Odón,10573,9,11.31
Villavieja de Lozoya,10381,30,37.70
Álamo, El,15340,30,37.70
